tweet_id,text,reply_text,my_intent_label,should_escalate,time_tier,notes
187568,hey @115888 fix your app,@160023 Hi there! Help's here. Can you let us know what's happening exactly? We'll see what we can suggest /MU,other,0,Early,Stratified sample from subsample
2043225,@115888 I cannot access my account despite paying monthly to subscribe!?! Help please!!,"@604220 Hey Stacey, help's here! Do you get an error message when trying to log in? Also, can you DM us your account's email address? /SJ https://t.co/ldFdZRiNAt",billing_subscription,1,Early,Stratified sample from subsample
186494,@SpotifyCares Turned this computer off for the night and relogged today to the same problem.  Song I click on plays the same wrong song,@159867 Alright. Can you DM us your account's email address? We'll take a look backstage /DV https://t.co/ldFdZRiNAt,playback_streaming,0,Early,Stratified sample from subsample
301913,@115888 If I already pay for both how can I get it for the student price?,@604869 Hi there! Could you DM us with your account's username and email address? We'll see what we can suggest /WW https://t.co/ldFdZRiNAt,billing_subscription,1,Early,Stratified sample from subsample
643419,@115888 wtf you doing to me? 😰 https://t.co/BbCSzQsC0H,@272765 2: We have more info about that here: https://t.co/0i8GpimuDa /LO,venting_feedback,0,Early,Stratified sample from subsample
231002,@SpotifyCares I’ll try that next time it cuts out. It’s working at the moment after I logged out and reset the phone earlier. Thanks,@170999 No worries! Just give us a shout if the problem persists. We're... https://t.co/zOXI69QSqg /RS,account_access,1,Early,Stratified sample from subsample
652857,@SpotifyCares Thank you!!,@275230 No worries! We'll be waiting for your message /JO,other,0,Early,Stratified sample from subsample
2049978,".@SpotifyCares, I am a longtime paid sub. &amp; can't play any album on iPhone, Mac continuously but 'Your Time Capsule.' Did Restarts. How fix?",@606216 Hey Jonathan! Help's here. Could you DM us your username or email address? We'll check things out backstage /Q https://t.co/ldFdZRiNAt,content_availability,0,Early,Stratified sample from subsample
293877,@SpotifyCares I don't have account with you but money is going out my bank? Who can help?,"@183893 Hey Louise, that doesn't sound right! Could you DM us your preferred email address where we can contact you on? We'll be here waiting /GN https://t.co/ldFdZRiNAt",billing_subscription,1,Early,Stratified sample from subsample
737836,I hate that I cant call and tall to someone from @115888 directly to get my account fix.,"@296464 1: Hi Vanessa! We're afraid we currently don't have telephone support, but we can help out here on Twitter.",venting_feedback,0,Early,Stratified sample from subsample
301888,"@SpotifyCares No, it was just playing normal ads, but instead of just playing audio while I navigate the app, it forced me to watch them.","@188028 Just to check, did you definitely watch the video ad that grants you 30 minutes ad-free listening in full after hearing the offer? /JM",playback_streaming,0,Early,Stratified sample from subsample
306253,@SpotifyCares Thank you! Some of us spook easily!,@189115 https://t.co/nRjHx7r9W3 😉 /WW,other,0,Early,Stratified sample from subsample
364939,Usual @115888 view when trying to choose music in the metro (with bad signal). Annoying since music is downloaded https://t.co/5yjfzbtndW,"@202445 Hey there! What's happening exactly? Can you let us know the iPhone model, iOS, and app version you're using? /PB",playback_streaming,0,Early,Stratified sample from subsample
380840,WTF @115888 does not have The Chronic and Compton by Dr. Dre. Having the largest collection does not mean quality #GrooveWasBetter,"@205881 Fingers crossed we'll be able to have them soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /CX",venting_feedback,0,Early,Stratified sample from subsample
2080401,"@SpotifyCares if my mom is already on my premium account and I have a family share plan, How do I get her account to premium?","@615282 Hi Brianne, help's here! Could you DM us your mom's username and email address? We'll take a look backstage 🔍 /JQ https://t.co/ldFdZRiNAt",feature_request_howto,0,Early,Stratified sample from subsample
